trial,WSLS_choice,feedback,true_noise,true_win_stay,true_lose_shift,opponent_choices,cumulative_rate_WSLS,cumulative_rate_opponent
1,1,0,0,0.3,0.3,0,1,0
2,1,1,0,0.3,0.3,1,1,0.5
3,0,0,0,0.3,0.3,1,0.6666666666666666,0.6666666666666666
4,0,0,0,0.3,0.3,1,0.5,0.75
5,0,0,0,0.3,0.3,1,0.4,0.8
6,1,1,0,0.3,0.3,1,0.5,0.8333333333333334
7,1,0,0,0.3,0.3,0,0.5714285714285714,0.7142857142857143
8,1,0,0,0.3,0.3,0,0.625,0.625
9,1,1,0,0.3,0.3,1,0.6666666666666666,0.6666666666666666
10,0,0,0,0.3,0.3,1,0.6,0.7
11,0,0,0,0.3,0.3,1,0.5454545454545454,0.7272727272727273
12,0,0,0,0.3,0.3,1,0.5,0.75
13,1,0,0,0.3,0.3,0,0.5384615384615384,0.6923076923076923
14,1,1,0,0.3,0.3,1,0.5714285714285714,0.7142857142857143
15,0,1,0,0.3,0.3,0,0.5333333333333333,0.6666666666666666
16,1,1,0,0.3,0.3,1,0.5625,0.6875
17,0,1,0,0.3,0.3,0,0.5294117647058824,0.6470588235294118
18,1,0,0,0.3,0.3,0,0.5555555555555556,0.6111111111111112
19,1,0,0,0.3,0.3,0,0.5789473684210527,0.5789473684210527
20,1,0,0,0.3,0.3,0,0.6,0.55
21,1,0,0,0.3,0.3,0,0.6190476190476191,0.5238095238095238
22,1,0,0,0.3,0.3,0,0.6363636363636364,0.5
23,1,0,0,0.3,0.3,0,0.6521739130434783,0.4782608695652174
24,1,0,0,0.3,0.3,0,0.6666666666666666,0.4583333333333333
25,1,0,0,0.3,0.3,0,0.68,0.44
26,1,1,0,0.3,0.3,1,0.6923076923076923,0.46153846153846156
27,0,0,0,0.3,0.3,1,0.6666666666666666,0.48148148148148145
28,0,0,0,0.3,0.3,1,0.6428571428571429,0.5
29,0,0,0,0.3,0.3,1,0.6206896551724138,0.5172413793103449
30,0,1,0,0.3,0.3,0,0.6,0.5
31,1,0,0,0.3,0.3,0,0.6129032258064516,0.4838709677419355
32,0,1,0,0.3,0.3,0,0.59375,0.46875
33,0,1,0,0.3,0.3,0,0.5757575757575758,0.45454545454545453
34,1,1,0,0.3,0.3,1,0.5882352941176471,0.47058823529411764
35,1,0,0,0.3,0.3,0,0.6,0.45714285714285713
36,1,1,0,0.3,0.3,1,0.6111111111111112,0.4722222222222222
37,0,1,0,0.3,0.3,0,0.5945945945945946,0.4594594594594595
38,1,0,0,0.3,0.3,0,0.6052631578947368,0.4473684210526316
39,1,1,0,0.3,0.3,1,0.6153846153846154,0.46153846153846156
40,0,0,0,0.3,0.3,1,0.6,0.475
41,0,0,0,0.3,0.3,1,0.5853658536585366,0.4878048780487805
42,0,0,0,0.3,0.3,1,0.5714285714285714,0.5
43,0,1,0,0.3,0.3,0,0.5581395348837209,0.4883720930232558
44,0,0,0,0.3,0.3,1,0.5454545454545454,0.5
45,1,0,0,0.3,0.3,0,0.5555555555555556,0.4888888888888889
46,1,1,0,0.3,0.3,1,0.5652173913043478,0.5
47,0,0,0,0.3,0.3,1,0.5531914893617021,0.5106382978723404
48,1,0,0,0.3,0.3,0,0.5625,0.5
49,1,0,0,0.3,0.3,0,0.5714285714285714,0.4897959183673469
50,1,1,0,0.3,0.3,1,0.58,0.5
51,0,1,0,0.3,0.3,0,0.5686274509803921,0.49019607843137253
52,1,0,0,0.3,0.3,0,0.5769230769230769,0.4807692307692308
53,1,1,0,0.3,0.3,1,0.5849056603773585,0.49056603773584906
54,0,0,0,0.3,0.3,1,0.5740740740740741,0.5
55,0,1,0,0.3,0.3,0,0.5636363636363636,0.4909090909090909
56,1,1,0,0.3,0.3,1,0.5714285714285714,0.5
57,0,1,0,0.3,0.3,0,0.5614035087719298,0.49122807017543857
58,1,1,0,0.3,0.3,1,0.5689655172413793,0.5
59,1,0,0,0.3,0.3,0,0.576271186440678,0.4915254237288136
60,1,1,0,0.3,0.3,1,0.5833333333333334,0.5
61,0,0,0,0.3,0.3,1,0.5737704918032787,0.5081967213114754
62,0,1,0,0.3,0.3,0,0.5645161290322581,0.5
63,1,0,0,0.3,0.3,0,0.5714285714285714,0.49206349206349204
64,0,1,0,0.3,0.3,0,0.5625,0.484375
65,1,0,0,0.3,0.3,0,0.5692307692307692,0.47692307692307695
66,0,0,0,0.3,0.3,1,0.5606060606060606,0.48484848484848486
67,0,1,0,0.3,0.3,0,0.5522388059701493,0.47761194029850745
68,1,1,0,0.3,0.3,1,0.5588235294117647,0.4852941176470588
69,0,1,0,0.3,0.3,0,0.5507246376811594,0.4782608695652174
70,1,1,0,0.3,0.3,1,0.5571428571428572,0.4857142857142857
71,0,1,0,0.3,0.3,0,0.5492957746478874,0.4788732394366197
72,1,1,0,0.3,0.3,1,0.5555555555555556,0.4861111111111111
73,1,0,0,0.3,0.3,0,0.5616438356164384,0.4794520547945205
74,1,1,0,0.3,0.3,1,0.5675675675675675,0.4864864864864865
75,0,1,0,0.3,0.3,0,0.56,0.48
76,1,1,0,0.3,0.3,1,0.5657894736842105,0.4868421052631579
77,0,1,0,0.3,0.3,0,0.5584415584415584,0.4805194805194805
78,1,0,0,0.3,0.3,0,0.5641025641025641,0.47435897435897434
79,1,0,0,0.3,0.3,0,0.569620253164557,0.46835443037974683
80,1,1,0,0.3,0.3,1,0.575,0.475
81,0,0,0,0.3,0.3,1,0.5679012345679012,0.48148148148148145
82,0,1,0,0.3,0.3,0,0.5609756097560976,0.47560975609756095
83,1,0,0,0.3,0.3,0,0.5662650602409639,0.46987951807228917
84,1,1,0,0.3,0.3,1,0.5714285714285714,0.47619047619047616
85,0,1,0,0.3,0.3,0,0.5647058823529412,0.47058823529411764
86,1,1,0,0.3,0.3,1,0.5697674418604651,0.47674418604651164
87,0,1,0,0.3,0.3,0,0.5632183908045977,0.47126436781609193
88,1,0,0,0.3,0.3,0,0.5681818181818182,0.4659090909090909
89,0,1,0,0.3,0.3,0,0.5617977528089888,0.4606741573033708
90,1,1,0,0.3,0.3,1,0.5666666666666667,0.4666666666666667
91,0,1,0,0.3,0.3,0,0.5604395604395604,0.46153846153846156
92,0,0,0,0.3,0.3,1,0.5543478260869565,0.4673913043478261
93,1,0,0,0.3,0.3,0,0.5591397849462365,0.46236559139784944
94,1,0,0,0.3,0.3,0,0.5638297872340425,0.4574468085106383
95,1,0,0,0.3,0.3,0,0.5684210526315789,0.45263157894736844
96,1,1,0,0.3,0.3,1,0.5729166666666666,0.4583333333333333
97,0,1,0,0.3,0.3,0,0.5670103092783505,0.4536082474226804
98,1,0,0,0.3,0.3,0,0.5714285714285714,0.4489795918367347
99,1,0,0,0.3,0.3,0,0.5757575757575758,0.4444444444444444
100,1,1,0,0.3,0.3,1,0.58,0.45
101,0,1,0,0.3,0.3,0,0.5742574257425742,0.44554455445544555
102,0,0,0,0.3,0.3,1,0.5686274509803921,0.45098039215686275
103,1,0,0,0.3,0.3,0,0.5728155339805825,0.44660194174757284
104,1,0,0,0.3,0.3,0,0.5769230769230769,0.4423076923076923
105,0,1,0,0.3,0.3,0,0.5714285714285714,0.4380952380952381
106,1,0,0,0.3,0.3,0,0.5754716981132075,0.4339622641509434
